# AWD_Partner,B3855,,B3855000,TEXAS INSTRUMENTS INC,@ti.com
# AWD_Partner,A1201,,A1201000,FISERV,@fiserv.com
# AWD_Partner,B7054,,B7054000,MARATHON PETROLEUM,@marathonpetroleum.com
# AWD_Partner,A8400,,A8400000,AON CORPORATION,@aon.com
# AWD_Partner,A8440,,A8440000,GENERAL MILLS,@genmills.com
# AWD_Partner,B1266,,B1266000,PARKER HANNIFIN,@parker.com
# AWD_Partner,A6309,,A6309000,APPLIED MATERIALS INC,@amat.com
# AWD_Partner,A3775,,A3775000,MEDTRONIC,@medtronic.com
# AWD_Partner,A6666,NULL,A6666000,AT&T,"@ACCBUSINESS.COM,@ACUS.COM,@AIO.COM,@AIOWIRELESS.COM,@ALASCOM.ATT.COM,@ALIENVAULT.COM,@AMERITECH.COM,@AP.ATT.COM,@APPNEXUS.COM,@ASE.ATT-MAIL.COM,@ASEMAIL.ATT.COM,@ATT.COM,@ATT.COM.MX,@ATTWIFI.COM,@ATTWS.COM,@AWSMAIL.ATT.COM,@BKB.TV,@CINGULARLAB.COM,@CORP.PRODIGY.COM,@CRICKETCOMMUNICATIONS.COM,@CRICKETWIRELESS.COM,@D2MEDIASALES.COM,@DIRECTV.COM,@DIRECTVLA.COM,@DTVHS.COM,@DTVOPS.NET,@EMEA.ATT.COM,@EMS.ATT.COM,@EXO.ATT.COM,@GRCI.COM,@INTERWISE.COM,@INTL.ATT.COM,@LABS.ATT.COM,@LEAPWIRELESS.COM,@LGA.ATT.COM,@MWMAIL.ATT.COM,@MX.ATT.COM,@QUICKPLAY.COM,@RESEACH.ATT.COM,@RESORTWIFI.COM,@RESORTWIFI.NET,@RESORTWIFI.ORG,@SEMAIL.ATT.COM,@SUPERCLICK.COM,@SWMAIL.ATT.COM,@UNEFON.COM,@UNEFON.COM.MX,@US.ATT.COM,@WAYAD.CORP.WAYPORT.NET,@WAYPORT.COM,@WAYPORT.NET,@WAYPORTACCESS.NET,@WAYPORT-ASIA.COM,@WAYPORT-ASIA.NET,@WAYPORT-EUROPE.COM,@WAYPORT-EUROPE.NET,@WAYPORT-INTL.COM,@WAYPORT-INTL.NET,@WEMAIL.ATT.COM,@XANDR.COM"
# AWD_Partner,A2862,,A2862000,JPMORGAN CHASE & CO,"@jpmorganchase.com,@jpmorgan.com,@chase.com,@jpmchase.com"
